"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"60","258.41247416999744","367.99690073047776","4.937703825088884","-0.3069452313257832","0.02980000000000005","0.02839999999999998","0.0312","1400","0.00016233761155837805","0.00016233761155837805","0.00016233761155837805","60_53:0.007655555216288162","60_53:660","true"
"61","323.8517871609786","245.95364843735564","4.8641761578146925","-0.3089108825350579","0.30499999999999994","0.5","0.11","1400","0.0058757492374876385","0.0058757492374876385","0.0058757492374876385","61_60:1;61_62:1","61_60:660;61_62:660","true"
"62","368.1973887999584","175.90033428376856","4.650875536671039","-0.311771769762377","0.013500000000000068","0.02100000000000002","0.006","1400","0.00018483437183272776","0.00018483437183272776","0.00018483437183272776","62_72:0.004674164941099429","62_72:660","true"
"63","401.86646288320867","94.50271727932179","4.882134457632757","-0.3077224207866349","0.007500000000000062","0.0084","0.00660000000000005","1400","0.0009368715335293614","0.0009368715335293614","0.0009368715335293614","63_62:0.016428445633513006","63_62:660","true"
"64","125.9087778003625","76.79127107753915","4.956157914937504","-0.3072535034857098","0.00649999999999995","0.008000000000000007","0.005","1400","0.00031384740034722045","0.00031384740034722045","0.00031384740034722045","64_63:0.020530394866079688;64_54:0.14408629387829386","64_63:660;64_54:428","true"
"65","404.5733214046593","233.7139457353552","4.761263980842453","-0.30847551722691047","0.014899999999999913","0.0146","0.015199999999999991","1400","0.0001453876177534418","0.0001453876177534418","0.0001453876177534418","65_64:0.007528236969923663","65_64:660","true"
"66","218.32854608304905","16.337639608047613","4.941386812456709","-0.2827533936570362","0.17166666666666663","0.12","0.22333333333333338","1400","0.013943881426594836","0.013943881426594836","0.013943881426594836","66_73:0.08923132866764139;66_65:0.027270982028445634","66_73:660;66_65:660","true"
"67","442.28158247777765","97.19612603732988","5.042671382696393","-0.30553261906714385","0.1266666666666667","0.09","0.16333333333333333","1400","0.00043504944076224676","0.00043504944076224676","0.00043504944076224676","67_66:0.03720636925387821","67_66:660","true"
"68","169.16103834248537","210.43378049445843","5.128344310554418","-0.3037249053723611","0.05919999999999992","0.0598","0.058599999999999985","1400","0.00018537248072719514","0.00018537248072719514","0.00018537248072719514","68_67:0.005751833670404272;68_69:0.00470888486192883;68_55:0.02907032030730511","68_67:660;68_69:660;68_55:660","true"
"69","218.05513846861373","176.23780375802943","5.073663850926575","-0.303766875764741","0.008399999999999963","0.0086","0.008199999999999985","1400","0.00028347720248356054","0.00028347720248356054","0.00028347720248356054","69_70:0.0081251002007523","69_70:660","true"
"70","56.173942142533214","42.066762185991905","4.875360667971835","-0.30702041690984844","0.07830000000000004","0.07199999999999995","0.0846","1400","0.0004023877312601667","0.0004023877312601667","0.0004023877312601667","","","true"
"71","424.519475663605","279.5772790053256","4.8266066575821105","-0.3088117820479275","0.009200000000000097","0.009600000000000053","0.0088","1400","0.00019438359835324367","0.00019438359835324367","0.00019438359835324367","71_77:0.006988326764417824","71_77:660","true"
"72","330.29799093734954","18.210339835957534","4.828046853336608","-0.30825371875747126","0.020399999999999974","0.0206","0.020199999999999996","1400","0.0004635834429143022","0.0004635834429143022","0.0004635834429143022","","","true"
"73","167.15432093206974","71.13846637104554","4.874039295964578","-0.3077336334044076","0.014399999999999968","0.019199999999999995","0.0096","1400","0.0026464150380394215","0.0026464150380394215","0.0026464150380394215","","","true"
"74","335.6908335745724","218.10500561916282","4.717506580747419","-0.30924481406023596","0.026666666666666616","0.03","0.023333333333333317","1400","0.000764203859216353","0.000764203859216353","0.000764203859216353","74_70:0.015856291772896047","74_70:660","true"
"75","245.1895400633769","136.92821728737312","4.915097725483378","-0.3067429768189127","0.025800000000000045","0.026000000000000023","0.0256","1400","0.0001720235985109523","0.0001720235985109523","0.0001720235985109523","75_76:0.006842826070865143","75_76:660","true"
"76","167.779345219687","233.76045210011299","4.861168586045283","-0.30806771434897606","0.014599999999999946","0.0194","0.009800000000000031","1400","0.00023120102362005906","0.00023120102362005906","0.00023120102362005906","76_77:0.0076387860032368915","76_77:660","true"
"77","220.02873545533097","147.3281004956955","4.720506315844347","-0.3106297524124092","0.19940000000000002","0.21640000000000004","0.1824","1400","0.00020545170140800454","0.00020545170140800454","0.00020545170140800454","","","true"
"78","340.319264491628","246.4351655366727","4.898517379803723","-0.3075239620356322","0.027900000000000036","0.0286","0.027200000000000002","1400","0.00012856601284964912","0.00012856601284964912","0.00012856601284964912","78_79:0.0034817973428522553;78_77:0.004902319690032547","78_79:660;78_77:660","true"
